id,instrument_id,symbol,datetime,price,volume
87,,ethereum,2025-10-26T16:01:04.547000+00:00,4075.076997801198,
13,,bitcoin,2025-10-26T16:01:01.331000+00:00,113680.01517857636,
12,,bitcoin,2025-10-26T15:01:58.947000+00:00,113578.8366173319,
159,,solana,2025-10-26T15:01:58.909000+00:00,199.08132359325364,
86,,ethereum,2025-10-26T15:01:58.713000+00:00,4067.2505435426096,
11,,bitcoin,2025-10-26T14:01:54.808000+00:00,113635.90930857442,
158,,solana,2025-10-26T14:01:53.988000+00:00,199.19577489652275,
85,,ethereum,2025-10-26T14:01:49.485000+00:00,4082.1603088498277,
157,,solana,2025-10-26T13:02:18.553000+00:00,197.78218634346374,
84,,ethereum,2025-10-26T13:02:17.932000+00:00,4071.159982791571,
10,,bitcoin,2025-10-26T13:02:17.755000+00:00,113586.72462343427,
9,,bitcoin,2025-10-26T12:00:44.965000+00:00,113282.59454999492,
156,,solana,2025-10-26T12:00:44.221000+00:00,197.69911812937593,
83,,ethereum,2025-10-26T12:00:30.520000+00:00,4042.554096296082,
155,,solana,2025-10-26T11:01:56.400000+00:00,195.0061709021452,
8,,bitcoin,2025-10-26T11:01:55.074000+00:00,112486.22493930868,
82,,ethereum,2025-10-26T11:01:49.433000+00:00,3985.3846149557867,
154,,solana,2025-10-26T10:06:24.850000+00:00,195.87105817516502,
7,,bitcoin,2025-10-26T10:05:43.979000+00:00,112501.78806508525,
81,,ethereum,2025-10-26T10:01:52.789000+00:00,3982.6170686874393,
153,,solana,2025-10-26T09:02:04.589000+00:00,194.20297109494638,
80,,ethereum,2025-10-26T09:02:03.216000+00:00,3960.380363471771,
6,,bitcoin,2025-10-26T09:01:49.036000+00:00,111826.19227478495,
152,,solana,2025-10-26T08:00:57.818000+00:00,194.05778150266943,
79,,ethereum,2025-10-26T08:00:53.141000+00:00,3951.9346831473554,
5,,bitcoin,2025-10-26T08:00:48.122000+00:00,111714.20855820262,
78,,ethereum,2025-10-26T07:01:55.117000+00:00,3944.571127706327,
4,,bitcoin,2025-10-26T07:01:54.683000+00:00,111614.99255495325,
151,,solana,2025-10-26T07:01:52.504000+00:00,193.90719028253704,
150,,solana,2025-10-26T06:02:03.808000+00:00,193.69943867904763,
3,,bitcoin,2025-10-26T06:01:20.297000+00:00,111635.49772678263,
77,,ethereum,2025-10-26T06:01:11.400000+00:00,3945.576392637036,
76,,ethereum,2025-10-26T05:01:14.853000+00:00,3939.860022107396,
149,,solana,2025-10-26T05:01:13.534000+00:00,193.0749473909138,
2,,bitcoin,2025-10-26T05:01:10.205000+00:00,111436.09985959985,
1,,bitcoin,2025-10-26T04:01:29.835000+00:00,111319.18877311777,
75,,ethereum,2025-10-26T04:01:28.875000+00:00,3931.671830320553,
148,,solana,2025-10-26T04:01:20.028000+00:00,192.92276200103632,
74,,ethereum,2025-10-26T03:01:16.925000+00:00,3930.1070671161,
